race,allegation_id
Asian/Pacific Islander,102432
Asian/Pacific Islander,102625
Asian/Pacific Islander,102661
Asian/Pacific Islander,102661
Asian/Pacific Islander,102669
Asian/Pacific Islander,102669
Asian/Pacific Islander,102694
Asian/Pacific Islander,102694
Asian/Pacific Islander,102697
Asian/Pacific Islander,102697
Asian/Pacific Islander,102701
Asian/Pacific Islander,102701
Asian/Pacific Islander,102744
Asian/Pacific Islander,102845
Asian/Pacific Islander,102982
Asian/Pacific Islander,102982
Asian/Pacific Islander,103060
Asian/Pacific Islander,103060
Asian/Pacific Islander,103080
Asian/Pacific Islander,103272
Asian/Pacific Islander,103278
Asian/Pacific Islander,103387
Asian/Pacific Islander,103497
Asian/Pacific Islander,103667
Asian/Pacific Islander,103871
Asian/Pacific Islander,103871
Asian/Pacific Islander,103913
Asian/Pacific Islander,103913
Asian/Pacific Islander,104110
Asian/Pacific Islander,104110
Asian/Pacific Islander,104470
Asian/Pacific Islander,104570
Asian/Pacific Islander,104670
Asian/Pacific Islander,104691
Asian/Pacific Islander,104721
Asian/Pacific Islander,104758
Asian/Pacific Islander,104758
Asian/Pacific Islander,104807
Asian/Pacific Islander,104807
Asian/Pacific Islander,104904
Asian/Pacific Islander,104945
Asian/Pacific Islander,104945
Asian/Pacific Islander,104979
Asian/Pacific Islander,104989
Asian/Pacific Islander,105013
Asian/Pacific Islander,105013
Asian/Pacific Islander,105114
Asian/Pacific Islander,105114
Asian/Pacific Islander,105114
Asian/Pacific Islander,105114
Asian/Pacific Islander,105206
Asian/Pacific Islander,105209
Asian/Pacific Islander,105340
Asian/Pacific Islander,105340
Asian/Pacific Islander,105374
Asian/Pacific Islander,105457
Asian/Pacific Islander,105868
Asian/Pacific Islander,106164
Asian/Pacific Islander,106164
Asian/Pacific Islander,106497
Asian/Pacific Islander,106497
Asian/Pacific Islander,106536
Asian/Pacific Islander,106696
Asian/Pacific Islander,106697
Asian/Pacific Islander,106723
Asian/Pacific Islander,106723
Asian/Pacific Islander,106745
Asian/Pacific Islander,106822
Asian/Pacific Islander,106822
Asian/Pacific Islander,107402
Asian/Pacific Islander,107407
Asian/Pacific Islander,107425
Asian/Pacific Islander,107481
Asian/Pacific Islander,107481
Asian/Pacific Islander,107553
Asian/Pacific Islander,107632
Asian/Pacific Islander,107633
Asian/Pacific Islander,107650
Asian/Pacific Islander,107741
Asian/Pacific Islander,107862
Asian/Pacific Islander,107862
Asian/Pacific Islander,107920
Asian/Pacific Islander,107920
Asian/Pacific Islander,108163
Asian/Pacific Islander,108351
Asian/Pacific Islander,108364
Asian/Pacific Islander,108378
Asian/Pacific Islander,108543
Asian/Pacific Islander,108829
Asian/Pacific Islander,108968
Asian/Pacific Islander,108968
Asian/Pacific Islander,108976
Asian/Pacific Islander,109315
Asian/Pacific Islander,109648
Asian/Pacific Islander,109648
Asian/Pacific Islander,109651
Asian/Pacific Islander,109808
Asian/Pacific Islander,109808
Asian/Pacific Islander,109849
Asian/Pacific Islander,109849
Asian/Pacific Islander,109958
Asian/Pacific Islander,109958
Asian/Pacific Islander,110074
Asian/Pacific Islander,110074
Asian/Pacific Islander,110074
Asian/Pacific Islander,110074
Asian/Pacific Islander,110141
Asian/Pacific Islander,110141
Asian/Pacific Islander,110141
Asian/Pacific Islander,110141
Asian/Pacific Islander,110171
Asian/Pacific Islander,110178
Asian/Pacific Islander,110197
Asian/Pacific Islander,110245
Asian/Pacific Islander,110245
Asian/Pacific Islander,110254
Asian/Pacific Islander,110352
Asian/Pacific Islander,110382
Asian/Pacific Islander,110382
Asian/Pacific Islander,110474
Asian/Pacific Islander,110474
Asian/Pacific Islander,110487
Asian/Pacific Islander,110662
Asian/Pacific Islander,110662
Asian/Pacific Islander,110678
Asian/Pacific Islander,110678
Asian/Pacific Islander,110720
Asian/Pacific Islander,110720
Asian/Pacific Islander,110816
Black,27717
Black,27721
Black,27721
Black,27725
Black,27725
Black,27726
Black,27726
Black,27727
Black,27727
Black,27728
Black,27728
Black,27729
Black,27731
Black,27731
Black,27732
Black,27732
Black,27733
Black,27735
Black,27735
Black,27739
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27742
Black,27743
Black,27744
Black,27746
Black,27747
Black,27747
Black,27748
Black,27748
Black,27748
Black,27749
Black,27749
Black,27750
Black,27750
Black,27752
Black,27752
Black,27753
Black,27754
Black,27754
Black,27755
Black,27755
Black,27756
Black,27756
Black,27757
Black,27757
Black,27758
Black,27759
Black,27759
Black,27760
Black,27760
Black,27761
Black,27761
Black,27762
Black,27762
Black,27764
Black,27764
Black,27766
Black,27766
Black,27767
Black,27767
Black,27768
Black,27769
Black,27769
Black,27774
Black,27775
Black,27778
Black,27780
Black,27781
Black,27782
Black,27782
Black,27783
Black,51349
Black,51349
Black,51351
Black,51358
Black,51358
Black,51358
Black,51358
Black,51359
Black,51360
Black,51360
Black,51361
Black,51362
Black,51362
Black,51362
Black,51362
Black,51362
Black,51362
Black,51363
Black,51363
Black,51364
Black,51365
Black,51365
Black,51366
Black,51366
Black,51368
Black,51368
Black,51371
Black,51371
Black,51371
Black,51373
Black,51373
Black,51380
Black,51384
Black,51384
Black,51385
Black,51386
Black,51386
Black,51389
Black,51389
Black,51390
Black,51390
Black,51392
Black,51392
Black,51393
Black,51393
Black,51395
Black,51395
Black,51398
Black,51398
Black,51400
Black,51400
Black,51400
Black,51400
Black,51402
Black,51403
Black,51403
Black,51405
Black,51405
Black,51406
Black,51406
Black,51408
Black,51408
Black,51409
Black,51409
Black,51410
Black,51413
Black,51413
Black,51414
Black,51414
Black,51416
Black,51416
Black,51417
Black,51417
Black,51418
Black,51418
Black,51419
Black,51419
Black,51420
Black,51422
Black,51423
Black,51423
Black,51424
Black,51425
Black,51425
Black,51427
Black,51427
Black,51428
Black,51428
Black,51431
Black,51431
Black,51432
Black,51432
Black,51433
Black,51433
Black,51434
Black,51434
Black,51435
Black,51435
Black,51436
Black,51436
Black,51437
Black,51437
Black,51438
Black,51438
Black,51439
Black,51439
Black,51443
Black,51443
Black,51445
Black,51446
Black,51448
Black,51455
Black,51456
Black,51456
Black,51457
Black,51458
Black,51459
Black,51459
Black,51460
Black,51460
Black,51465
Black,51465
Black,51469
Black,51469
Black,51473
Black,51477
Black,51477
Black,51478
Black,51480
Black,51480
Black,51481
Black,51481
Black,51482
Black,51482
Black,51485
Black,51486
Black,51486
Black,51486
Black,51487
Black,51487
Black,51488
Black,51489
Black,51492
Black,51494
Black,51495
Black,51496
Black,51496
Black,51502
Black,51504
Black,51504
Black,51505
Black,51505
Black,51506
Black,51506
Black,51509
Black,51509
Black,51511
Black,51511
Black,51513
Black,51513
Black,51514
Black,51514
Black,51516
Black,51517
Black,51517
Black,51518
Black,51518
Black,51518
Black,51518
Black,51520
Black,51522
Black,51522
Black,51523
Black,51523
Black,51527
Black,51529
Black,51529
Black,51530
Black,51530
Black,51531
Black,51534
Black,51534
Black,51535
Black,51535
Black,51538
Black,51538
Black,51539
Black,51540
Black,51540
Black,51541
Black,51541
Black,51542
Black,51544
Black,51544
Black,51546
Black,51546
Black,51547
Black,51547
Black,51551
Black,51551
Black,51553
Black,51553
Black,51556
Black,51558
Black,51561
Black,51564
Black,51564
Black,51567
Black,51567
Black,51572
Black,51572
Black,51573
Black,51574
Black,56651
Black,56651
Black,56654
Black,56655
Black,56655
Black,56658
Black,56659
Black,56659
Black,56660
Black,56660
Black,56660
Black,56660
Black,56661
Black,56661
Black,56664
Black,56664
Black,56664
Black,56665
Black,56665
Black,56666
Black,56666
Black,56667
Black,56667
Black,56670
Black,56670
Black,56671
Black,56671
Black,56673
Black,56674
Black,56674
Black,56675
Black,56676
Black,56676
Black,56676
Black,56676
Black,56678
Black,56680
Black,56681
Black,56682
Black,56683
Black,56683
Black,56684
Black,56684
Black,56688
Black,56689
Black,56689
Black,56691
Black,56691
Black,56692
Black,56693
Black,56693
Black,56693
Black,56693
Black,56693
Black,56693
Black,56694
Black,56696
Black,56697
Black,56698
Black,56699
Black,56699
Black,56701
Black,56701
Black,56702
Black,56702
Black,56704
Black,56704
Black,56706
Black,56706
Black,56707
Black,56708
Black,56708
Black,56710
Black,56710
Black,56711
Black,56711
Black,56714
Black,56715
Black,56715
Black,56716
Black,56718
Black,56718
Black,56719
Black,56719
Black,56720
Black,56722
Black,56722
Black,56724
Black,56725
Black,56727
Black,56728
Black,56728
Black,56728
Black,56729
Black,56730
Black,56730
Black,56732
Black,56732
Black,56733
Black,56734
Black,56734
Black,56735
Black,56735
Black,56738
Black,56738
Black,56739
Black,56739
Black,56740
Black,56740
Black,56741
Black,56742
Black,56743
Black,56745
Black,56745
Black,56746
Black,56747
Black,56747
Black,56748
Black,56748
Black,56748
Black,56749
Black,56749
Black,56750
Black,56750
Black,56750
Black,56750
Black,56751
Black,56751
Black,56752
Black,56752
Black,56753
Black,56753
Black,56753
Black,56753
Black,56754
Black,56755
Black,56756
Black,56756
Black,56757
Black,56758
Black,56759
Black,56761
Black,56761
Black,56763
Black,56766
Black,56767
Black,56771
Black,56772
Black,56774
Black,56776
Black,56776
Black,56777
Black,56777
Black,56778
Black,56781
Black,56783
Black,56783
Black,56784
Black,56786
Black,56787
Black,56787
Black,56788
Black,56788
Black,56789
Black,56789
Black,56790
Black,56791
